Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,move_time_s,cluster,tiempo_optimo_s
9,3.74,20.96,07:58:35,07:59:08,4,3,33,0,40
7,4.02,17.87,07:59:13,07:59:46,4,4,33,0,35
3,1.9,7.46,07:59:51,08:00:24,4,2,33,1,20
7,4.23,19.05,08:00:29,08:01:02,4,1,33,0,35
8,1.8,20.82,08:01:07,08:01:40,4,3,33,0,35
9,3.81,23.21,08:01:45,08:02:18,4,4,33,0,35
10,2.57,19.54,08:02:23,08:02:56,4,2,33,0,35
6,1.33,14.41,08:03:01,08:03:34,4,1,33,0,35
9,2.16,24.48,08:03:39,08:04:12,4,3,33,0,35
7,2.1,16.15,08:04:17,08:04:50,4,4,33,0,35
1,0.0,6.3,08:04:55,08:05:28,4,2,33,1,33
8,2.17,20.97,08:05:33,08:06:06,4,1,33,0,35
3,3.55,7.44,08:06:11,08:06:44,4,3,33,1,20
9,2.93,22.61,08:06:49,08:07:22,4,4,33,0,35
8,1.64,19.71,08:07:27,08:08:00,4,2,33,0,35
3,3.4,6.94,08:08:05,08:08:38,4,1,33,1,20
4,4.19,9.98,08:08:43,08:09:16,4,3,33,1,20
4,3.26,9.84,08:09:21,08:09:54,4,4,33,1,20
1,0.0,3.16,08:09:59,08:10:32,4,2,33,1,33
8,3.89,20.02,08:10:37,08:11:10,4,1,33,0,35
2,3.27,5.3,08:11:15,08:11:48,4,3,33,1,20
4,1.17,11.02,08:11:53,08:12:26,4,4,33,1,20
3,7.33,6.16,08:12:31,08:13:04,4,2,33,2,22
6,4.21,16.97,08:13:09,08:13:42,4,1,33,0,35
9,1.39,24.89,08:13:47,08:14:20,4,3,33,0,35
12,1.15,18.63,08:14:25,08:14:58,4,4,33,0,35
2,2.67,3.51,08:15:03,08:15:36,4,2,33,1,20
8,2.36,22.2,08:15:41,08:16:14,4,1,33,0,35
4,3.35,10.58,08:16:19,08:16:52,4,3,33,1,20
4,2.86,9.42,08:16:57,08:17:30,4,4,33,1,20
7,1.99,13.22,08:17:35,08:18:08,4,2,33,0,35
9,2.94,20.96,08:18:13,08:18:46,4,1,33,0,35
7,3.39,17.61,08:18:51,08:19:24,4,3,33,0,35
8,3.07,17.08,08:19:29,08:20:02,4,4,33,0,35
4,2.58,6.45,08:20:07,08:20:40,4,2,33,1,20
4,2.66,9.95,08:20:45,08:21:18,4,1,33,1,20
7,3.47,16.3,08:21:23,08:21:56,4,3,33,0,35
4,2.94,9.21,08:22:01,08:22:34,4,4,33,1,20
6,1.82,12.91,08:22:39,08:23:12,4,2,33,1,20
6,1.57,14.83,08:23:17,08:23:50,4,1,33,0,35
6,2.28,12.17,08:23:55,08:24:28,4,3,33,1,20
3,4.88,2.38,08:24:33,08:25:06,4,4,33,1,20
7,1.56,12.0,08:25:11,08:25:44,4,2,33,0,35
