Total_Vehiculos,Tiempo_Medio_s,Ocupacion_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion
7,3.79,100.00,13:31:40,13:32:13,1,4
7,5.40,73.23,13:34:11,13:34:44,1,4
5,7.12,57.58,13:36:47,13:37:20,1,4
9,3.21,100.00,13:39:15,13:39:48,1,4
12,2.71,87.37,13:41:43,13:42:16,1,4
9,1.61,100.00,13:44:15,13:44:48,1,4
10,2.27,78.54,13:46:44,13:47:17,1,4
12,2.33,89.14,13:49:13,13:49:46,1,4
11,1.19,100.00,13:51:53,13:52:26,1,4
10,1.66,100.00,13:54:24,13:54:57,1,4
6,2.20,100.00,13:56:58,13:57:31,1,4
6,2.07,99.49,13:59:30,14:00:03,1,4
10,3.59,100.00,14:02:02,14:02:35,1,4
14,1.48,100.00,14:04:34,14:05:07,1,4
10,1.86,59.85,14:07:06,14:07:39,1,4
3,4.08,49.49,14:09:39,14:10:12,1,4
3,6.54,45.45,14:12:11,14:12:44,1,4
4,8.08,62.88,14:14:41,14:15:14,1,4
11,2.75,100.00,14:17:10,14:17:43,1,4
8,2.25,100.00,14:19:49,14:20:22,1,4
7,2.21,53.54,14:22:18,14:22:51,1,4
12,2.16,100.00,14:24:51,14:25:24,1,4
17,1.31,100.00,14:27:23,14:27:56,1,4
11,2.34,95.45,14:29:57,14:30:30,1,4
17,1.98,100.00,14:32:26,14:32:59,1,4
10,2.12,82.83,14:34:57,14:35:30,1,4
14,1.37,85.61,14:37:31,14:38:04,1,4
13,2.59,84.09,14:40:02,14:40:35,1,4
8,2.30,100.00,14:42:33,14:43:06,1,4
4,9.42,77.78,14:45:04,14:45:37,1,4
8,3.24,100.00,14:47:33,14:48:06,1,4
7,2.31,58.59,14:50:08,14:50:41,1,4
3,2.42,91.41,14:52:41,14:53:14,1,4
4,9.97,100.00,14:55:15,14:55:48,1,4
12,2.17,79.04,14:57:44,14:58:17,1,4
9,2.18,80.56,15:00:13,15:00:46,1,4
12,2.07,100.00,15:02:47,15:03:20,1,4
13,1.60,70.71,15:05:20,15:05:53,1,4
12,2.29,88.64,15:07:54,15:08:27,1,4
11,1.39,100.00,15:10:25,15:10:58,1,4
8,1.93,60.86,15:12:59,15:13:32,1,4
8,2.61,100.00,15:15:28,15:16:01,1,4
4,3.33,100.00,15:18:01,15:18:34,1,4
12,2.42,97.22,15:20:32,15:21:05,1,4
5,5.67,84.09,15:23:04,15:23:37,1,4
4,1.44,66.92,15:25:36,15:26:09,1,4
7,2.00,100.00,15:28:06,15:28:39,1,4
7,1.58,41.16,15:30:41,15:31:14,1,4
7,5.12,100.00,15:33:11,15:33:44,1,4
0,0.00,21.72,15:35:48,15:36:21,1,4
7,2.26,69.44,15:38:17,15:38:50,1,4
13,1.58,100.00,15:40:46,15:41:19,1,4
9,1.73,100.00,15:43:22,15:43:55,1,4
15,1.26,72.73,15:45:55,15:46:28,1,4
11,1.02,98.99,15:48:24,15:48:57,1,4
13,2.19,100.00,15:50:55,15:51:28,1,4
8,3.31,94.70,15:53:27,15:54:00,1,4
7,4.35,69.44,15:55:59,15:56:32,1,4
