Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
11,2.48,8.67,09:08:33,09:09:06,2,1,4
7,2.29,12.97,09:09:11,09:09:44,2,3,1
3,3.21,6.36,09:09:49,09:10:22,2,4,2
8,1.45,12.63,09:10:27,09:11:00,2,2,3
3,3.17,2.12,09:11:05,09:11:38,2,1,4
9,2.93,21.45,09:11:43,09:12:16,2,3,1
7,2.6,11.21,09:12:21,09:12:54,2,4,2
6,1.58,12.37,09:12:59,09:13:32,2,2,3
8,1.26,4.44,09:13:37,09:14:10,2,1,4
14,2.03,26.01,09:14:15,09:14:48,2,3,1
6,4.92,11.98,09:14:53,09:15:26,2,4,2
2,3.42,4.84,09:15:31,09:16:04,2,2,3
9,1.58,7.13,09:16:09,09:16:42,2,1,4
7,2.56,14.73,09:16:47,09:17:20,2,3,1
6,2.28,15.29,09:17:25,09:17:58,2,4,2
3,3.46,5.12,09:18:03,09:18:36,2,2,3
6,2.33,6.41,09:18:41,09:19:14,2,1,4
12,1.86,23.77,09:19:19,09:19:52,2,3,1
11,1.52,19.65,09:19:57,09:20:30,2,4,2
8,1.8,13.23,09:20:35,09:21:08,2,2,3
2,20.0,1.0,09:21:13,09:21:46,2,1,4
8,3.48,20.57,09:21:51,09:22:24,2,3,1
4,2.36,10.51,09:22:29,09:23:02,2,4,2
5,1.85,10.15,09:23:07,09:23:40,2,2,3
2,5.5,1.11,09:23:45,09:24:18,2,1,4
6,4.02,9.66,09:24:23,09:24:56,2,3,1
5,2.02,7.49,09:25:01,09:25:34,2,4,2
6,4.3,9.65,09:25:39,09:26:12,2,2,3
4,3.03,1.8,09:26:17,09:26:50,2,1,4
10,2.17,22.89,09:26:55,09:27:28,2,3,1
8,2.24,21.94,09:27:33,09:28:06,2,4,2
3,9.08,5.32,09:28:11,09:28:44,2,2,3
6,1.8,4.01,09:28:49,09:29:22,2,1,4
9,2.9,20.06,09:29:27,09:30:00,2,3,1
10,1.55,15.08,09:30:05,09:30:38,2,4,2
6,5.08,12.95,09:30:43,09:31:16,2,2,3
9,2.56,6.2,09:31:21,09:31:54,2,1,4
6,3.57,18.18,09:31:59,09:32:32,2,3,1
5,1.88,6.33,09:32:37,09:33:10,2,4,2
4,1.42,5.25,09:33:15,09:33:48,2,2,3
7,2.01,5.15,09:33:53,09:34:26,2,1,4
16,1.63,34.22,09:34:31,09:35:04,2,3,1
13,1.58,25.3,09:35:09,09:35:42,2,4,2
10,2.16,18.82,09:35:47,09:36:20,2,2,3
6,1.62,4.05,09:36:25,09:36:58,2,1,4
13,1.85,24.72,09:37:03,09:37:36,2,3,1
8,3.05,12.34,09:37:41,09:38:14,2,4,2
2,0.75,6.4,09:38:19,09:38:52,2,2,3
8,1.67,6.41,09:38:57,09:39:30,2,1,4
5,3.04,12.2,09:39:35,09:40:08,2,3,1
5,6.29,10.2,09:40:13,09:40:46,2,4,2
3,1.21,5.71,09:40:51,09:41:24,2,2,3
2,3.0,1.22,09:41:29,09:42:02,2,1,4
5,5.81,12.94,09:42:07,09:42:40,2,3,1
4,1.69,4.04,09:42:45,09:43:18,2,4,2
8,3.55,14.79,09:43:23,09:43:56,2,2,3
7,3.85,3.71,09:44:01,09:44:34,2,1,4
13,2.25,33.66,09:44:39,09:45:12,2,3,1
3,1.38,7.0,09:45:17,09:45:50,2,4,2
13,1.64,20.33,09:45:55,09:46:28,2,2,3
4,2.94,4.22,09:46:33,09:47:06,2,1,4
7,2.42,18.5,09:47:11,09:47:44,2,3,1
12,1.92,20.9,09:47:49,09:48:22,2,4,2
8,2.99,13.25,09:48:27,09:49:00,2,2,3
10,2.42,7.56,09:49:05,09:49:38,2,1,4
12,2.33,22.71,09:49:43,09:50:16,2,3,1
5,2.08,9.14,09:50:21,09:50:54,2,4,2
5,2.58,9.06,09:50:59,09:51:32,2,2,3
9,3.35,4.15,09:51:37,09:52:10,2,1,4
11,2.39,23.88,09:52:15,09:52:48,2,3,1
7,2.17,10.74,09:52:53,09:53:26,2,4,2
1,0.0,2.87,09:53:31,09:54:04,2,2,3
6,3.37,5.5,09:54:09,09:54:42,2,1,4
9,2.76,17.19,09:54:47,09:55:20,2,3,1
10,3.07,16.43,09:55:25,09:55:58,2,4,2
7,1.25,12.63,09:56:03,09:56:36,2,2,3
3,13.38,1.66,09:56:41,09:57:14,2,1,4
10,1.98,21.82,09:57:19,09:57:52,2,3,1
9,1.83,22.97,09:57:57,09:58:30,2,4,2
6,2.55,11.8,09:58:35,09:59:08,2,2,3
8,3.12,6.26,09:59:13,09:59:46,2,1,4
9,3.75,14.68,09:59:51,10:00:24,2,3,1
6,2.45,11.68,10:00:29,10:01:02,2,4,2
6,5.2,13.15,10:01:07,10:01:40,2,2,3
4,1.53,2.15,10:01:45,10:02:18,2,1,4
9,2.05,14.32,10:02:23,10:02:56,2,3,1
8,1.81,18.04,10:03:01,10:03:34,2,4,2
4,3.0,6.11,10:03:39,10:04:12,2,2,3
7,2.39,5.68,10:04:17,10:04:50,2,1,4
5,4.0,15.85,10:04:55,10:05:28,2,3,1
11,1.38,15.58,10:05:33,10:06:06,2,4,2
3,1.83,4.15,10:06:11,10:06:44,2,2,3
9,2.27,6.95,10:06:49,10:07:22,2,1,4
7,3.75,8.51,10:07:27,10:08:00,2,3,1
9,1.96,18.28,10:08:05,10:08:38,2,4,2
10,2.19,18.17,10:08:43,10:09:16,2,2,3
4,6.97,3.29,10:09:21,10:09:54,2,1,4
8,3.52,8.9,10:09:59,10:10:32,2,3,1
3,4.62,9.58,10:10:37,10:11:10,2,4,2
6,5.0,9.18,10:11:15,10:11:48,2,2,3
3,0.92,2.18,10:11:53,10:12:26,2,1,4
5,1.88,16.61,10:12:31,10:13:04,2,3,1
3,4.96,7.86,10:13:09,10:13:42,2,4,2
6,1.72,11.75,10:13:47,10:14:20,2,2,3
6,4.48,5.51,10:14:25,10:14:58,2,1,4
5,2.75,11.25,10:15:03,10:15:36,2,3,1
5,1.67,9.34,10:15:41,10:16:14,2,4,2
8,3.26,19.14,10:16:19,10:16:52,2,2,3
5,2.04,5.4,10:16:57,10:17:30,2,1,4
5,7.06,10.64,10:17:35,10:18:08,2,3,1
4,1.31,5.87,10:18:13,10:18:46,2,4,2
4,4.25,10.66,10:18:51,10:19:24,2,2,3
2,3.42,1.79,10:19:29,10:20:02,2,1,4
10,2.48,17.31,10:20:07,10:20:40,2,3,1
6,2.47,10.33,10:20:45,10:21:18,2,4,2
7,2.93,16.58,10:21:23,10:21:56,2,2,3
0,0.0,0.17,10:22:01,10:22:34,2,1,4
9,1.24,15.6,10:22:39,10:23:12,2,3,1
9,1.48,13.96,10:23:17,10:23:50,2,4,2
3,2.88,5.68,10:23:55,10:24:28,2,2,3
4,7.11,3.89,10:24:33,10:25:06,2,1,4
3,7.42,5.19,10:25:11,10:25:44,2,3,1
21,1.15,24.82,10:25:49,10:26:22,2,4,2
2,18.42,6.08,10:26:27,10:27:00,2,2,3
1,0.0,0.96,10:27:05,10:27:38,2,1,4
12,2.38,18.32,10:27:43,10:28:16,2,3,1
14,1.6,27.61,10:28:21,10:28:54,2,4,2
4,2.17,7.15,10:28:59,10:29:32,2,2,3
3,2.96,2.33,10:29:37,10:30:10,2,1,4
6,3.93,10.05,10:30:15,10:30:48,2,3,1
9,2.5,20.79,10:30:53,10:31:26,2,4,2
7,1.82,12.9,10:31:31,10:32:04,2,2,3
7,1.58,6.84,10:32:09,10:32:42,2,1,4
6,2.28,13.23,10:32:47,10:33:20,2,3,1
13,1.15,24.6,10:33:25,10:33:58,2,4,2
8,2.0,15.17,10:34:03,10:34:36,2,2,3
7,1.99,6.43,10:34:41,10:35:14,2,1,4
10,2.02,21.82,10:35:19,10:35:52,2,3,1
10,1.73,15.74,10:35:57,10:36:30,2,4,2
5,1.94,10.29,10:36:35,10:37:08,2,2,3
4,2.47,2.8,10:37:13,10:37:46,2,1,4
6,2.03,14.41,10:37:51,10:38:24,2,3,1
7,2.36,15.58,10:38:29,10:39:02,2,4,2
5,6.5,8.5,10:39:07,10:39:40,2,2,3
2,8.33,1.87,10:39:45,10:40:18,2,1,4
11,2.44,19.93,10:40:23,10:40:56,2,3,1
15,1.62,22.06,10:41:01,10:41:34,2,4,2
6,1.87,12.83,10:41:39,10:42:12,2,2,3
8,3.13,7.28,10:42:17,10:42:50,2,1,4
10,1.72,21.35,10:42:55,10:43:28,2,3,1
5,2.98,8.68,10:43:33,10:44:06,2,4,2
2,20.17,6.48,10:44:11,10:44:44,2,2,3
6,2.65,5.92,10:44:49,10:45:22,2,1,4
11,2.52,19.45,10:45:27,10:46:00,2,3,1
7,4.42,7.62,10:46:05,10:46:38,2,4,2
3,3.08,7.54,10:46:43,10:47:16,2,2,3
10,2.68,9.61,10:47:21,10:47:54,2,1,4
9,1.96,20.91,10:47:59,10:48:32,2,3,1
5,2.0,10.98,10:48:37,10:49:10,2,4,2
4,4.53,16.21,10:49:15,10:49:48,2,2,3
5,1.38,5.06,10:49:53,10:50:26,2,1,4
8,3.8,15.26,10:50:31,10:51:04,2,3,1
6,2.07,17.64,10:51:09,10:51:42,2,4,2
5,2.75,12.74,10:51:47,10:52:20,2,2,3
9,2.8,7.6,10:52:25,10:52:58,2,1,4
4,6.36,10.67,10:53:03,10:53:36,2,3,1
7,2.46,15.61,10:53:41,10:54:14,2,4,2
6,3.37,9.38,10:54:19,10:54:52,2,2,3
6,5.0,6.47,10:54:57,10:55:30,2,1,4
6,1.98,11.34,10:55:35,10:56:08,2,3,1
3,2.62,6.07,10:56:13,10:56:46,2,4,2
3,3.17,13.3,10:56:51,10:57:24,2,2,3
3,3.42,5.16,10:57:29,10:58:02,2,1,4
4,2.44,5.29,10:58:07,10:58:40,2,3,1
8,1.5,14.81,10:58:45,10:59:18,2,4,2
16,1.93,23.43,10:59:23,10:59:56,2,2,3
10,2.46,15.68,11:00:01,11:00:34,2,1,4
8,3.05,13.77,11:00:39,11:01:12,2,3,1
7,2.42,15.17,11:01:17,11:01:50,2,4,2
11,2.23,22.89,11:01:55,11:02:28,2,2,3
4,6.28,2.87,11:02:33,11:03:06,2,1,4
5,2.1,7.37,11:03:11,11:03:44,2,3,1
4,2.5,13.35,11:03:49,11:04:22,2,4,2
4,8.33,8.7,11:04:27,11:05:00,2,2,3
3,2.08,5.48,11:05:05,11:05:38,2,1,4
6,1.72,7.51,11:05:43,11:06:16,2,3,1
