Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
10,2.72,18.67,09:09:56,09:10:29,1,1,4
7,4.39,21.19,09:10:34,09:11:07,1,3,1
5,1.19,11.82,09:11:12,09:11:45,1,4,2
7,3.7,17.62,09:11:50,09:12:23,1,2,3
3,1.29,4.11,09:12:28,09:13:01,1,1,4
14,1.9,28.63,09:13:06,09:13:39,1,3,1
7,2.18,15.08,09:13:44,09:14:17,1,4,2
3,3.87,8.45,09:14:22,09:14:55,1,2,3
7,2.82,6.52,09:15:00,09:15:33,1,1,4
7,3.29,11.95,09:15:38,09:16:11,1,3,1
1,0.0,2.58,09:16:16,09:16:49,1,4,2
6,3.48,15.81,09:16:54,09:17:27,1,2,3
10,2.9,10.04,09:17:32,09:18:05,1,1,4
5,2.62,12.89,09:18:10,09:18:43,1,3,1
6,2.15,11.75,09:18:48,09:19:21,1,4,2
8,3.95,20.19,09:19:26,09:19:59,1,2,3
7,1.86,8.91,09:20:04,09:20:37,1,1,4
7,1.79,12.72,09:20:42,09:21:15,1,3,1
7,1.53,12.57,09:21:20,09:21:53,1,4,2
9,1.38,24.3,09:21:58,09:22:31,1,2,3
6,2.58,5.87,09:22:36,09:23:09,1,1,4
3,2.33,6.03,09:23:14,09:23:47,1,3,1
7,1.82,16.26,09:23:52,09:24:25,1,4,2
4,3.82,10.15,09:24:30,09:25:03,1,2,3
10,2.46,13.34,09:25:08,09:25:41,1,1,4
12,2.27,24.98,09:25:46,09:26:19,1,3,1
4,2.92,5.89,09:26:24,09:26:57,1,4,2
5,2.54,13.66,09:27:02,09:27:35,1,2,3
8,3.24,9.84,09:27:40,09:28:13,1,1,4
7,2.96,16.9,09:28:18,09:28:51,1,3,1
6,2.37,10.42,09:28:56,09:29:29,1,4,2
5,4.34,12.47,09:29:34,09:30:07,1,2,3
4,2.19,5.83,09:30:12,09:30:45,1,1,4
9,3.22,21.48,09:30:50,09:31:23,1,3,1
6,1.27,7.92,09:31:28,09:32:01,1,4,2
9,4.5,24.31,09:32:06,09:32:39,1,2,3
7,1.72,10.46,09:32:44,09:33:17,1,1,4
8,2.11,18.56,09:33:22,09:33:55,1,3,1
1,0.0,2.51,09:34:00,09:34:33,1,4,2
4,2.37,11.11,09:34:38,09:35:11,1,2,3
4,1.47,6.16,09:35:16,09:35:49,1,1,4
7,2.4,14.53,09:35:54,09:36:27,1,3,1
4,2.61,5.8,09:36:32,09:37:05,1,4,2
5,1.22,13.21,09:37:10,09:37:43,1,2,3
9,1.5,11.46,09:37:48,09:38:21,1,1,4
7,3.92,11.56,09:38:26,09:38:59,1,3,1
6,4.42,12.94,09:39:04,09:39:37,1,4,2
6,2.0,16.27,09:39:42,09:40:15,1,2,3
4,5.5,3.74,09:40:20,09:40:53,1,1,4
5,2.06,12.05,09:40:58,09:41:31,1,3,1
6,2.68,9.9,09:41:36,09:42:09,1,4,2
5,2.3,12.05,09:42:14,09:42:47,1,2,3
5,3.69,5.79,09:42:52,09:43:25,1,1,4
11,2.58,23.96,09:43:30,09:44:03,1,3,1
5,2.48,11.24,09:44:08,09:44:41,1,4,2
3,4.03,8.5,09:44:46,09:45:19,1,2,3
2,2.25,3.2,09:45:24,09:45:57,1,1,4
9,2.54,25.5,09:46:02,09:46:35,1,3,1
6,2.37,13.97,09:46:40,09:47:13,1,4,2
6,2.6,14.18,09:47:18,09:47:51,1,2,3
4,7.64,4.18,09:47:56,09:48:29,1,1,4
8,2.02,17.72,09:48:34,09:49:07,1,3,1
5,3.0,12.02,09:49:12,09:49:45,1,4,2
7,1.52,17.9,09:49:50,09:50:23,1,2,3
5,7.19,6.07,09:50:28,09:51:01,1,1,4
7,3.28,13.08,09:51:06,09:51:39,1,3,1
5,2.04,14.09,09:51:44,09:52:17,1,4,2
6,2.45,14.3,09:52:22,09:52:55,1,2,3
8,3.5,11.86,09:53:00,09:53:33,1,1,4
4,3.75,14.12,09:53:38,09:54:11,1,3,1
5,2.04,10.56,09:54:16,09:54:49,1,4,2
2,1.16,6.5,09:54:54,09:55:27,1,2,3
8,2.54,8.95,09:55:32,09:56:05,1,1,4
4,2.75,5.85,09:56:10,09:56:43,1,3,1
5,1.69,12.41,09:56:48,09:57:21,1,4,2
6,2.58,16.17,09:57:26,09:57:59,1,2,3
3,7.54,2.37,09:58:04,09:58:37,1,1,4
2,2.83,6.43,09:58:42,09:59:15,1,3,1
12,2.53,24.06,09:59:20,09:59:53,1,4,2
6,2.81,14.87,09:59:58,10:00:31,1,2,3
8,1.65,16.33,10:00:36,10:01:09,1,1,4
13,2.17,32.95,10:01:14,10:01:47,1,3,1
6,2.07,14.0,10:01:52,10:02:25,1,4,2
3,3.29,8.75,10:02:30,10:03:03,1,2,3
2,0.0,1.3,10:03:08,10:03:41,1,1,4
5,3.77,15.51,10:03:46,10:04:19,1,3,1
6,1.3,18.51,10:04:24,10:04:57,1,4,2
8,2.32,19.36,10:05:02,10:05:35,1,2,3
3,5.96,3.03,10:05:40,10:06:13,1,1,4
6,3.17,12.05,10:06:18,10:06:51,1,3,1
8,2.19,14.17,10:06:56,10:07:29,1,4,2
7,2.06,19.01,10:07:34,10:08:07,1,2,3
8,2.61,11.19,10:08:12,10:08:45,1,1,4
5,2.42,12.36,10:08:50,10:09:23,1,3,1
7,1.61,19.66,10:09:28,10:10:01,1,4,2
7,3.6,17.76,10:10:06,10:10:39,1,2,3
4,1.86,5.83,10:10:44,10:11:17,1,1,4
9,2.68,20.8,10:11:22,10:11:55,1,3,1
2,3.0,5.58,10:12:00,10:12:33,1,4,2
6,1.6,13.73,10:12:38,10:13:11,1,2,3
10,1.91,11.39,10:13:16,10:13:49,1,1,4
6,1.58,7.68,10:13:54,10:14:27,1,3,1
8,3.82,13.6,10:14:32,10:15:05,1,4,2
9,1.9,22.71,10:15:10,10:15:43,1,2,3
3,13.54,3.39,10:15:48,10:16:21,1,1,4
2,8.58,4.62,10:16:26,10:16:59,1,3,1
3,2.12,11.63,10:17:04,10:17:37,1,4,2
2,3.27,4.54,10:17:42,10:18:15,1,2,3
6,4.08,6.52,10:18:20,10:18:53,1,1,4
7,4.6,13.85,10:18:58,10:19:31,1,3,1
7,5.22,14.62,10:19:36,10:20:09,1,4,2
4,3.67,10.11,10:20:14,10:20:47,1,2,3
6,2.32,10.64,10:20:52,10:21:25,1,1,4
9,2.45,16.74,10:21:30,10:22:03,1,3,1
8,2.08,23.55,10:22:08,10:22:41,1,4,2
6,2.8,17.25,10:22:46,10:23:19,1,2,3
7,4.53,10.07,10:23:24,10:23:57,1,1,4
6,1.77,11.1,10:24:02,10:24:35,1,3,1
11,1.28,23.51,10:24:40,10:25:13,1,4,2
4,2.33,4.7,10:25:18,10:25:51,1,2,3
0,0.0,0.16,10:25:56,10:26:29,1,1,4
6,1.65,10.95,10:26:34,10:27:07,1,3,1
6,2.97,17.85,10:27:12,10:27:45,1,4,2
4,5.56,5.68,10:27:50,10:28:23,1,2,3
0,0.0,0.44,10:28:28,10:29:01,1,1,4
9,2.84,21.6,10:29:06,10:29:39,1,3,1
9,1.7,23.06,10:29:44,10:30:17,1,4,2
4,4.5,6.3,10:30:22,10:30:55,1,2,3
1,0.0,2.22,10:31:00,10:31:33,1,1,4
9,2.58,18.03,10:31:38,10:32:11,1,3,1
5,1.46,10.69,10:32:16,10:32:49,1,4,2
5,2.08,8.96,10:32:54,10:33:27,1,2,3
2,4.17,1.8,10:33:32,10:34:05,1,1,4
5,3.69,12.55,10:34:10,10:34:43,1,3,1
9,1.54,19.15,10:34:48,10:35:21,1,4,2
4,1.89,7.97,10:35:26,10:35:59,1,2,3
2,11.92,2.84,10:36:04,10:36:37,1,1,4
6,2.52,11.59,10:36:42,10:37:15,1,3,1
5,2.44,7.37,10:37:20,10:37:53,1,4,2
7,2.99,10.05,10:37:58,10:38:31,1,2,3
7,2.47,8.9,10:38:36,10:39:09,1,1,4
4,3.33,3.75,10:39:14,10:39:47,1,3,1
11,1.59,20.07,10:39:52,10:40:25,1,4,2
1,0.0,2.68,10:40:30,10:41:03,1,2,3
6,2.23,7.49,10:41:08,10:41:41,1,1,4
5,2.77,15.1,10:41:46,10:42:19,1,3,1
1,0.0,1.44,10:42:24,10:42:57,1,4,2
4,2.22,4.21,10:43:02,10:43:35,1,2,3
3,9.96,2.68,10:43:40,10:44:13,1,1,4
6,3.8,15.04,10:44:18,10:44:51,1,3,1
6,3.47,13.73,10:44:56,10:45:29,1,4,2
4,5.56,6.21,10:45:34,10:46:07,1,2,3
7,1.82,9.17,10:46:12,10:46:45,1,1,4
4,4.06,4.3,10:46:50,10:47:23,1,3,1
0,0.0,45.83,10:47:28,10:48:01,1,4,2
