Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
4,1.36,4.67,09:10:07,09:10:40,5,1,4
9,3.25,11.27,09:10:45,09:11:18,5,3,1
3,3.29,4.68,09:11:23,09:11:56,5,4,2
7,3.29,23.01,09:12:01,09:12:34,5,2,3
4,1.75,6.2,09:12:39,09:13:12,5,1,4
9,2.57,18.64,09:13:17,09:13:50,5,3,1
5,2.58,7.94,09:13:55,09:14:28,5,4,2
5,3.67,20.3,09:14:33,09:15:06,5,2,3
4,2.67,3.79,09:15:11,09:15:44,5,1,4
5,3.62,8.95,09:15:49,09:16:22,5,3,1
5,2.79,8.05,09:16:27,09:17:00,5,4,2
9,1.71,14.92,09:17:05,09:17:38,5,2,3
2,1.5,1.91,09:17:43,09:18:16,5,1,4
8,3.26,11.65,09:18:21,09:18:54,5,3,1
8,2.21,13.38,09:18:59,09:19:32,5,4,2
2,5.5,6.41,09:19:37,09:20:10,5,2,3
8,2.07,14.94,09:20:15,09:20:48,5,1,4
10,2.6,19.31,09:20:53,09:21:26,5,3,1
8,1.68,13.56,09:21:31,09:22:04,5,4,2
7,2.33,8.59,09:22:09,09:22:42,5,2,3
5,1.38,5.39,09:22:47,09:23:20,5,1,4
3,4.54,1.98,09:23:25,09:23:58,5,3,1
3,3.5,5.25,09:24:03,09:24:36,5,4,2
2,2.67,3.85,09:24:41,09:25:14,5,2,3
1,0.0,2.75,09:25:19,09:25:52,5,1,4
4,7.64,4.09,09:25:57,09:26:30,5,3,1
8,1.51,9.56,09:26:35,09:27:08,5,4,2
8,2.23,18.68,09:27:13,09:27:46,5,2,3
3,1.29,1.31,09:27:51,09:28:24,5,1,4
8,2.8,10.39,09:28:29,09:29:02,5,3,1
9,3.34,16.94,09:29:07,09:29:40,5,4,2
3,10.5,7.5,09:29:45,09:30:18,5,2,3
4,5.47,6.79,09:30:23,09:30:56,5,1,4
5,4.71,6.16,09:31:01,09:31:34,5,3,1
6,4.52,9.35,09:31:39,09:32:12,5,4,2
